2020-07-04 18:00:41,"b'""Investigators found a boogaloo-themed patch in a vehicle used by Carrillo. And Carrillo had scrawled ""boog"", along\xe2\x80\xa6 https://t.co/Ph22re2tVQ'","Los Angeles, CA",0.0,0.0
2020-07-04 17:38:00,b'#boogaloo theme songs. https://t.co/4dep0r9SGf',United States,0.0,0.0
2020-07-04 17:30:58,b'@GOP @realDonaldTrump @NRA @USArmy @MARSOCofficial The mother of all terrorist war criminal @DNC financier @GOP rep\xe2\x80\xa6 https://t.co/Tyz7HIqGpt',middle name great,-0.4,0.55
2020-07-04 17:25:48,b'#boogaloo theme songs  https://t.co/UXltvBuyUM',United States,0.0,0.0
2020-07-04 17:11:12,b'Nice Liberty Tree analogy. A lot of #FakePatriots hug the #Bible and wrap themselves in the \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 forget #Constitution\xe2\x80\xa6 https://t.co/Z4Sp4HII1X',"Washington DC & Palm Beach, FL",0.6,1.0
2020-07-04 17:02:42,"b'As right-wing extremists have used the company\xe2\x80\x99s tools to organize, the world\xe2\x80\x99s largest social network has also pro\xe2\x80\xa6 https://t.co/B17Yn6rHcz'",,0.03333333333333333,0.06666666666666667
2020-07-04 16:49:24,"b'Just a short 244 years ago, a bunch of secessionists declared that taxation is theft, started a boogaloo, and yeete\xe2\x80\xa6 https://t.co/fQDmRwOC3V'",New Hampshire,0.0,0.3
2020-07-04 16:40:18,b'@yeshuabyoseph @mmpadellan @Caitrionapaix Why believe that Trump even *can* be voted out of office?\xe2\x80\xa6 https://t.co/P1XOVvfY23',,0.0,0.0
2020-07-04 16:38:46,b'Floral print dress? @kayleighmcenany is ready for the #Boogaloo. https://t.co/DjGZyHpUSs',,0.2,0.5
2020-07-04 16:28:19,b'/end\n#independenceday2020 Memethread! Here are mine add yours!\n#Secession\n#4thofJuly\n#76\n#July4th\n#1776\n#revolution\xe2\x80\xa6 https://t.co/oR0rTuiea4',"Canton, Baltimore",0.0,0.0
2020-07-04 16:28:17,b'#independenceday2020 Memethread! Here are mine add yours!\n#Secession\n#4thofJuly\n#76\n#July4th\n#1776\n#revolution\xe2\x80\xa6 https://t.co/RH6R05t1PR',"Canton, Baltimore",0.0,0.0
2020-07-04 16:28:16,b'#independenceday2020 Memethread! Here are mine add yours!\n#Secession\n#4thofJuly\n#76\n#July4th\n#1776\n#revolution\xe2\x80\xa6 https://t.co/tBjOT1aIDb',"Canton, Baltimore",0.0,0.0
