2020-03-10 20:57:14,b'Fixed:  \n\n#AntiWhites insist that whites (AND ONLY WHITES) be loyal to WORDS rather than loyal to their own people.\xe2\x80\xa6 https://t.co/ugZsuHh6cf',High On A Hilltop with Merle Haggard,0.2733333333333333,0.7733333333333333
2020-03-10 20:32:11,b'We are always being asked this question. The QUESTION for any other people would bring a person under suspicion of\xe2\x80\xa6 https://t.co/9IafaZdpJo',,-0.125,0.375
2020-03-10 20:27:18,"b'ONLY white people are told ""countries are not colour coded, so we must mix into a blended race"".\n\n#WhiteGenocide https://t.co/hEf4xeBn0Z'",,0.0,0.5
2020-03-10 20:18:56,b'That thought has nothing to do with whether white people should be preserved.\n\n#WhiteGenocide https://t.co/c51BV4rbTS',,0.0,0.0
2020-03-10 20:17:00,"b""#AntiWhites demand punishment for those who point out a reality they don't like.\n\n#WhiteGenocide https://t.co/cjsbc0CyCY""",,0.0,0.0
2020-03-10 20:09:59,b'@kieronfinn The anti-white proposition:\n\nAsia for the Asians.\nAfrica for the Africans.\nWhite countries for EVERYBODY.\n\n#WhiteGenocide',,0.0,0.0
2020-03-10 20:07:12,"b'What exactly is the difference between forcing Jews into concetration camps to gas them and forcing whites into ""me\xe2\x80\xa6 https://t.co/9Ok8huzT2d'",,0.25,0.25
2020-03-10 20:03:49,"b'This is how your ""anti-racism"" works on Planet Earth: there can be no exclusively white anything.\n\n""Anti-racist"" is\xe2\x80\xa6 https://t.co/wtCVW28wW7'",,0.0,0.0
2020-03-10 19:50:19,"b'What exactly IS the difference between the way Hitler spoke of Jews and the way so called ""anti-racists"" speak of w\xe2\x80\xa6 https://t.co/g8FsHfyYbl'",,0.25,0.25
2020-03-10 19:31:46,b'There was not a single white man on my bus this morning AGAIN.\n\n#WhiteGenocide https://t.co/QBSWWmtuFv',,0.017857142857142856,0.10714285714285714
2020-03-10 19:28:21,"b'""Accuse the other side of that which you\'re guilty"" Joseph Goebbels, Nazi Propaganda Minister\n\n#WhiteGenocide\xe2\x80\xa6 https://t.co/ZMJ5sxsOkc'",,-0.24166666666666667,0.4916666666666667
2020-03-10 19:14:27,"b'No one says Indians, Chinese, Arabs, Africans etc should fight the ""privilege"" of their own race in government and\xe2\x80\xa6 https://t.co/RlEhcTVa52'",,0.3,0.5
2020-03-10 19:06:22,"b'If I were mixed race i.e. non-white no #AntiWhite would ever called me ""white supremacist"" for opposing genocide of\xe2\x80\xa6 https://t.co/eRFZDbxG8y'",,0.0,0.125
2020-03-10 18:36:28,"b'Recently the Government discussed how #WhiteGenocide is a myth but FORCED ""demographic shifts"" via man-made policy\xe2\x80\xa6 https://t.co/lj2BIcudVb'",,-0.15000000000000002,0.225
2020-03-10 18:16:04,b'Please retweet this. It needs as much attention bringing to it as possible. #AshSarkar #demographics\xe2\x80\xa6 https://t.co/WqBZVUYFxX',,0.1,0.6
2020-03-10 18:11:28,b'@twatterbaas #WhiteGenocide The white farmers and white people in South Africa suffer and brutally slaughter because of their colour.',,-0.2916666666666667,0.3333333333333333
2020-03-10 17:07:42,"b'#Maccabees #ThanksJews #ItsOkayToBeWhite #KalergiPlan #WhiteGenocide \n\n""Remember what Amalek did to the Israelites.\xe2\x80\xa6 https://t.co/qyAG5hVHIX'","North Carolina, USA",0.0,0.0
2020-03-10 14:17:55,"b""You just admitted you're too dumb to know what a traitor is.\n\n#ChasingDownWhites #WhiteGenocide https://t.co/s9CzsIXuYm""",,-0.375,0.5
2020-03-10 14:10:58,b'Very rare candor from an #AntiWhite supporting #WhiteGenocide. https://t.co/wy0lXNyFIr',,0.32,0.625
2020-03-10 14:01:47,b'\xe2\x80\x9cWhite Flight\xe2\x80\x9d in the UK. They want to prevent Whites from running to non-diverse areas? They\xe2\x80\x99ve done nothing to pr\xe2\x80\xa6 https://t.co/zV2PjqFchM',United States,0.0,0.0
2020-03-10 13:59:30,"b'Any White person who doesn\'t want their race abolished is a ""racist"".\n\n""Anti-racist"" is a code word for #AntiWhite.\xe2\x80\xa6 https://t.co/y0HHDkw7Tu'",,0.0,0.0
2020-03-10 13:56:36,b'#AntiWhites hate Whites.\n\n#AntiWhites want #WhiteGenocide. https://t.co/vzyNbk735w',,-0.8,0.9
2020-03-10 13:54:16,"b'#AntiWhites deny #WhiteGenocide, then treat Whites as pure evil. https://t.co/KFV4woJF8j'",,-0.39285714285714285,0.75
2020-03-10 13:50:38,"b'#AntiWhites deny #WhiteGenocide, then brag about our ""inevitable"" brown future. https://t.co/WMp6SNxLik'",,0.0,0.5625
2020-03-10 13:42:32,"b'""Diversity"" means #ChasingDownWhites.\n\n""Diversity"" is a code word for #WhiteGenocide. https://t.co/aZXU2fAHFT'",,0.0,0.0
2020-03-10 13:40:26,"b'Even Coronavirus, no respecter of races, is a good reason to close our borders.\n\nFor #AntiWhites NOTHING can halt t\xe2\x80\xa6 https://t.co/A748Fa5T33'",,0.7,0.6000000000000001
2020-03-10 13:28:49,"b'""As long as they come here legally"" justifies #WhiteGenocide. https://t.co/xdHwYVLg0l'",,0.07500000000000001,0.30000000000000004
2020-03-10 13:23:52,"b'""Diversity"" means #ChasingDownWhites.\n\n""Diversity"" is a code word for #WhiteGenocide. https://t.co/i1Qklqslnc'",,0.0,0.0
2020-03-10 13:19:57,"b'No matter what you\xe2\x80\x99ll say, #WhiteGenocide is the worst kind of Genocide known at this day. It is hidden &amp; mocked so\xe2\x80\xa6 https://t.co/fuHTmdvxiv'","Paris, France",-0.18888888888888888,0.7444444444444445
2020-03-10 13:00:21,"b'""Diversity"" forces Whites to live amongst other races who hate Whites.\n\n""Diversity"" means #ChasingDownWhites.\n\n""Div\xe2\x80\xa6 https://t.co/gZjWhHOAwB'",,-0.2628787878787879,0.5916666666666667
2020-03-10 12:00:13,"b""Wow! That's some proper EVIL sheeeeeeit there brah! Pig skin Neanderthal cavedwelling crackers are the worst !\xe2\x80\xa6 https://t.co/BBQCjpgQTR""",,-0.46875,0.775
