2020-06-25 18:54:52,b'I just heard the word #boogaloo being mentioned in a nearby conversation at my workplace. Someone said the upcoming\xe2\x80\xa6 https://t.co/JkkQig0jLU',"Georgia, USA",0.0,0.0
2020-06-25 18:24:53,b'IDIOTS\n\n#Boogaloo #militia members have infiltrated the #US #military \xe2\x80\x94 and they\xe2\x80\x99re aiming to overthrow the\xe2\x80\xa6 https://t.co/T7hTHOUBSC',Pennsylvania,-0.45,0.45
2020-06-25 17:56:13,"b'@torihall303 @MuddManSpokane @ProjectLincoln @Portland_State And members of the #Boogaloo movement and #WhiteSupremacists, the FBI found'",,0.0,0.0
2020-06-25 17:51:54,b'Where are the arms? You are delusional #PaulGosar. The only armed people associated with these protests are the cre\xe2\x80\xa6 https://t.co/72wuimERYS',"Tucson, AZ",0.0,1.0
2020-06-25 17:39:03,"b""@CtrlPew Hello I'd like to purchase one of your finest firearms in the most illegal fashion possible, I too am part\xe2\x80\xa6 https://t.co/Vc7o7eUvWv""",,0.0,0.6666666666666666
2020-06-25 17:12:35,b'#Boogaloo #Antifa #libertarian #rightwing #LeftWing #center #lefties #WhiteSupremacists \nWhat is the uniform for an\xe2\x80\xa6 https://t.co/DvKCzwLMLh',"Tulsa, OK",-0.1,0.1
2020-06-25 17:12:30,"b""@POTUS Don't U read my tweets #boogaloo #StableGenius what I said about looking over your shoulder Pence and Covid\xe2\x80\xa6 https://t.co/3tqB8YHDyc""",,0.0,0.0
2020-06-25 17:07:16,"b""It's possible that a few white supremacists could ruin #Boogaloo for everyone.\n\nIf the good folks of #Boogaloo are\xe2\x80\xa6 https://t.co/1X9ky7OzTa""","Kennesaw, GA. Look it up.",0.12499999999999999,0.42500000000000004
2020-06-25 17:03:16,b'@realDonaldTrump @FoxNews @edhenry MAGAts are infiltrating protests and lighting fires. \n\nThe GOP are lying in unis\xe2\x80\xa6 https://t.co/wRoxPkYmvS',,0.0,0.0
2020-06-25 17:02:30,b'Of course they will... depopulation starts there... it is highly likely that this coronavirus will make people fert\xe2\x80\xa6 https://t.co/cxT2XjtYQM',Washington,0.0,1.0
2020-06-25 17:01:32,b'\xe2\x80\x9cGo to the riots &amp; support our own cause. Use their anger to fuel our fire. Think outside the box. We have mobs of\xe2\x80\xa6 https://t.co/kyS7RruNkX',CONUS,-0.033333333333333326,0.4166666666666667
2020-06-25 16:28:20,b'The U.S. #Military Has a #Boogaloo Problem White Supremacy | By Tess Owen https://t.co/RfVvrGJGPV @WomenMarines\xe2\x80\xa6 https://t.co/PgQa0uMiUT',"Midwood, Brooklyn & NJ",-0.05,0.05
2020-06-25 16:24:11,"b'A modest proposal: any police officers who is fired for making racist comments, expressing a desire to murder black\xe2\x80\xa6 https://t.co/ocYaepuZDH'",Network 23,0.1,0.9
2020-06-25 16:09:45,b'If you advocate for everyone to use masks it shows you have no clue how masks work... lol... #COVID19 #Coronavirus\xe2\x80\xa6 https://t.co/XbT1yi6lgK',Washington,0.8,0.7
2020-06-25 16:08:26,b'How close are we to #SHTF?\n\n#preppers #prepping #prepper #Boogaloo https://t.co/UFjE4IAqBM',"Kennesaw, GA. Look it up.",0.0,0.0
2020-06-25 15:54:54,b'The #Boogaloo movement has successfully hijacked social networks to spread https://t.co/yT8nFQetHQ Background: mixt\xe2\x80\xa6 https://t.co/H9ytAAPZlz',"Maryland-Virginia-DC, USA",0.39166666666666666,0.5083333333333333
2020-06-25 15:54:32,"b'The term these days for #boogaloo is so weird to me, i know it as two things, a dance from the 60s and a slang term\xe2\x80\xa6 https://t.co/X1eX8vnQ5W'","Lake Wales, FL",-0.5,1.0
2020-06-25 15:43:18,"b'@Bassr1Kelly @wowitzsam @realDonaldTrump Nothing to see here. Run off boomer, go shave your #boogaloo,\xe2\x80\xa6 https://t.co/R7UYAlVLjp'",Château d'Abraxas,0.0,0.0
2020-06-25 15:28:34,"b'#racistexposed   #Boogaloo wants a war.  They will spread destrucion, but the UNION will prevail\xe2\x80\xa6 https://t.co/0c8k4jXEpR'",The Great state of Minnesota,0.2,0.1
2020-06-25 15:06:27,b'I stole it\n#BigIglooBois\n#bigluau \n#Boogaloo https://t.co/oC53BkVrAI',"Tennessee, USA",0.0,0.0
2020-06-25 14:21:02,"b'@NikkiHaley Most @realDonaldTrump online ads are like someone yelling ""Fire!"" in a theater!!! Incendiary &amp; False!!!\xe2\x80\xa6 https://t.co/LlUlwHGHq9'",,1.0,0.5
2020-06-25 14:17:47,"b'@realDonaldTrump The ""good people"" who you encouraged to ""liberate Michigan"" included #Boogaloo reps--\n\nSo maybe, s\xe2\x80\xa6 https://t.co/n7u3hWfBWN'","Adams, MA",0.7,0.6000000000000001
2020-06-25 13:45:42,"b'#RaceSoldiers, not \xe2\x80\x9cpolice officers.\xe2\x80\x9d  The war is ongoing! #Boogaloo https://t.co/oqgeNoUf6n'",Amerikkka,0.0,0.0
2020-06-25 13:23:05,"b'99% percent of Americans agree that #GeorgeFloyd should be alive today, even police officers.\n\nWhat would it be if\xe2\x80\xa6 https://t.co/cd7AK219ui'",Québec,0.1,0.4
2020-06-25 13:15:22,b'@imontheright2 @RightinCA @RGanley @HurrNot @Hildolfr3 @Lovestr50361283 @Black_is_back5 @akuscg @TrumpSugar\xe2\x80\xa6 https://t.co/EZYQl8q7xd',,0.0,0.0
2020-06-25 13:14:38,b'@imontheright2 @RightinCA @RGanley @HurrNot @Hildolfr3 @Lovestr50361283 @Black_is_back5 @akuscg @TrumpSugar\xe2\x80\xa6 https://t.co/LyYFBpsT2l',,0.0,0.0
2020-06-25 13:12:11,b'@imontheright2 @RightinCA @RGanley @HurrNot @Hildolfr3 @Lovestr50361283 @Black_is_back5 @akuscg @TrumpSugar\xe2\x80\xa6 https://t.co/eUrSZxnUir',,0.0,0.0
2020-06-25 13:11:39,b'The Boogaloo movement has successfully hijacked social networks to spread - #racist #hate #SwampyDon #Boogaloo\xe2\x80\xa6 https://t.co/0LjURCJmHW',USA,-0.005555555555555573,0.6388888888888888
2020-06-25 13:00:34,b'@imontheright2 @RightinCA @RGanley @HurrNot @Hildolfr3 @Lovestr50361283 @Black_is_back5 @akuscg @TrumpSugar\xe2\x80\xa6 https://t.co/zqrLX3NC44',,0.0,0.0
2020-06-25 12:56:20,b'@imontheright2 @RightinCA @RGanley @HurrNot @Hildolfr3 @Lovestr50361283 @Black_is_back5 @akuscg @TrumpSugar\xe2\x80\xa6 https://t.co/86BqfcLPZx',,0.0,0.0
2020-06-25 12:55:11,b'@imontheright2 @RightinCA @RGanley @HurrNot @Hildolfr3 @Lovestr50361283 @Black_is_back5 @akuscg @TrumpSugar\xe2\x80\xa6 https://t.co/2PKg4kAr2g',,0.0,0.0
2020-06-25 12:34:31,b'@RightinCA @RGanley @HurrNot @Hildolfr3 @Lovestr50361283 @Black_is_back5 @akuscg @TrumpSugar @misshellca\xe2\x80\xa6 https://t.co/2eMwPBMhSn',,0.0,0.0
2020-06-25 12:26:55,b'#Boogaloo militia members have infiltrated the US military \xe2\x80\x94 and they\xe2\x80\x99re aiming to overthrow the American government https://t.co/lLbbYdYcgR',,-0.05,0.05
2020-06-25 12:10:38,b'I keep saying this... Just a term to describe people who want to start a war to overthrow the Government. Currently\xe2\x80\xa6 https://t.co/WJMFWT15tg',AMERICA,0.0,0.0
2020-06-25 12:10:37,"b'When #Boogaloo Bois say they want to bring #CivilWara lot of people laugh it off, like the kind of thing that would\xe2\x80\xa6 https://t.co/iYbkNhZLgX'",Seattle ,0.44999999999999996,0.5
2020-06-25 12:00:25,b'And you were worried about murder Hornets.\n\n#Boogaloo \n\nBoogaloo militia members have infiltrated the US military \xe2\x80\x94\xe2\x80\xa6 https://t.co/34yPUfyksk',,-0.1,0.1
2020-06-25 11:21:25,b'#Boogaloo \nWe get down https://t.co/fJgGi0MfxQ https://t.co/JexJfC7LIv',"Milwaukee, WI",-0.15555555555555559,0.2888888888888889
2020-06-25 11:10:11,b'No one can convince me otherwise that Chris de Burgh will write the soundtrack for the #boogaloo',"Hodgenville, KY",0.0,0.0
2020-06-25 10:11:04,b'@ShannonFreshour Police arrest #Qanon #Boogaloo Trumpeteer Republicans who set fires and incited violence while wea\xe2\x80\xa6 https://t.co/J89p0wLsnF',"Atlanta, GA",-0.05,0.0
2020-06-25 10:07:20,b'@verge cant be #Boogaloo and lick trumps boots',,0.0,0.0
2020-06-25 09:33:57,"b'@IngrahamAngle U.S. CONGRESS WAS/IS BOUGHT AND PAID FOR, BY THE BIG BANKS AND MEGA CORPORATIONS, WHO GOT IN BED WIT\xe2\x80\xa6 https://t.co/yoCd7lM2XN'",USA ,0.0,0.1
2020-06-25 09:29:47,b'@IngrahamAngle FYI...I don\xe2\x80\x99t recall voting/referendum on whether America should do business with Chinese Communists\xe2\x80\xa6 https://t.co/kESbPOheJA',USA ,0.0,0.0
2020-06-25 09:22:12,"b'AND THIS IS WHY AMERICA NEEDS REVOLUTION. YOU HAVE DEMONSTRABLE ENEMIES OF AMERICA, WHO WOULD RATHER SEE AMERICA BU\xe2\x80\xa6 https://t.co/wVn9oSvG1D'",USA ,0.0,0.0
2020-06-25 09:19:27,b'Lebanon Was Torn Apart by a Civil War and the U.S. is Going Down a Similar Path \n#USA #CHAZ #Boogaloo #CivilWar2020 \nhttps://t.co/KXh3Det29a',,-0.07777777777777779,0.34444444444444444
2020-06-25 08:49:42,b'#Trump Attacks Anti-Fascists But Is Silent on #Boogaloo &amp; Far-Right Groups Engaged in Deadly Violence \xe2\x80\x93\xc2\xa0#terror https://t.co/8rhBGwo6mB',dancin' the revolution,-0.1,0.25
2020-06-25 06:38:32,b'We Are #DefundThePolice &amp; Our Mission Is Clear! \xe2\x80\x98I can\xe2\x80\x99t wait\xe2\x80\x99 to \xe2\x80\x98go out and start slaughtering\xe2\x80\x99 #Black people: Th\xe2\x80\xa6 https://t.co/E1iFJBgiOm',United States 🏴,-0.020833333333333315,0.4083333333333333
2020-06-25 05:50:10,"b""@CruxFidelis4 And you can be sure that if cops were hunting unarmed white people, your #Boogaloo would've been in f\xe2\x80\xa6 https://t.co/k6o66NYzbV""",,0.25,0.4444444444444444
2020-06-25 05:48:14,"b""@CruxFidelis4 And you can be sure that if cops were hunting unarmed white people, your #Boogaloo would've been in f\xe2\x80\xa6 https://t.co/d5duwvKn73""",,0.25,0.4444444444444444
2020-06-25 04:45:56,"b""@fulk_hayden Yeah she on trial right now for all them emails but you ain't heard about it because of the antifa rioting #boogaloo""",,0.2857142857142857,0.5357142857142857
