2020-06-23 06:33:18,"b'""The best of the deeds are Salat offered at its proper time and kindness to the parents.""\n\n#ProphetMuhammad \n\xf0\x9f\x95\x8b\xf0\x9f\x95\x8c\xe2\x80\xa6 https://t.co/xswJJedT00'",India,0.5,0.2
2020-06-23 06:00:20,"b""Narrated 'Abdullah (bin 'Umar):\nOnce Allah's Messenger (PBUH) passed by an Ansari (man) who was admonishing his bro\xe2\x80\xa6 https://t.co/eWLgLC9CZI""","لاہور, پاکستان",0.0,0.0
2020-06-23 05:24:32,b'Golden #Hadith \xf0\x9f\x92\x90 #HadithOfTheDay https://t.co/yyDTbfQWxC',Kingdom of Saudi Arabia,0.3,0.5
2020-06-23 05:13:48,b'Modifying #Hadith and #quran to justify itself as leader of #islam\n\nAfter sometime you may read that Mohammad was p\xe2\x80\xa6 https://t.co/FSRWXOjDxQ',,0.0,0.0
2020-06-23 04:16:42,b'(15) #Hadith of the day: https://t.co/IteX3LrDkF',کشمیر🍁,0.0,0.0
2020-06-23 04:03:34,b'Prepare yourself before you..\n.\n.\n.\n.\n\n#islam #the #daily #islam #reminder #muslim #namaz #salah #Allah #hadith\xe2\x80\xa6 https://t.co/0yHgVfIWqu',Pakistan,0.0,0.0
2020-06-23 03:28:34,"b'Ibn \'Umar &amp; \'Aishah (May Allah be pleased with them) reported:\nMessenger of Allah \xef\xb7\xba said, ""Jibril kept recommending\xe2\x80\xa6 https://t.co/D0FvzZfGim'","Mumbai, India",0.5,1.0
2020-06-23 02:41:31,"b'Did you know that Prophet Muhammad(pbbuh) said:""Fulfill the trust of those to whom they are due, and do not be trea\xe2\x80\xa6 https://t.co/B8TQpj4ulS'",,-0.125,0.375
2020-06-23 00:54:29,"b""@iamschuyler97 How many girls reach puberty by age 9? \n\nFWIIW #hadith OK's sex with prepubescent wives. (Details at\xe2\x80\xa6 https://t.co/JYjFbLiflF""","Washington, DC",0.5,0.5
2020-06-23 00:00:19,"b'""The severer of the tie of kinship would not get into Paradise.""\n{Sahih Muslim 2556 b}\n.\n#muhammad #islam #allah\xe2\x80\xa6 https://t.co/73AHuqCG67'","Online, USA, Egypt",0.0,0.0
2020-06-23 21:13:30,b'Stand tall stand firm against all those who would do you harm #Syria https://t.co/4Y0z20aLbS\xe2\x80\x9d',London,-0.2,0.4
2020-06-23 21:13:06,"b'In addition to resources, #Hezbollah continues to smuggle dollars to #Syria, not paying taxes, and other crimes, al\xe2\x80\xa6 https://t.co/Cmh1sGrHsC'","Washington, DC",-0.125,0.375
2020-06-23 21:13:01,"b'Truman board member @GoodmanSherri told the \xe2\x80\x9cClimate in the Coronaverse,\xe2\x80\x9d that #climatechange strained food, water\xe2\x80\xa6 https://t.co/5O1uXcjZiq'","Washington, DC",0.0,0.0
2020-06-23 21:12:26,"b""They couldn't breathe he still breathes go figure #Syria https://t.co/UGIsrjTYCs\xe2\x80\x9d""",London,0.0,0.0
2020-06-23 21:12:10,b'They just want to break free #Syria https://t.co/PH9iTZfPux\xe2\x80\x9d',London,0.4,0.8
2020-06-23 21:12:02,"b""Feel for me because I can't anymore #Syria https://t.co/mmGbpqG1W8\xe2\x80\x9d""",London,0.0,0.0
2020-06-23 21:11:16,b'assad regime war criminals list...to be continied... #damascus #syria #Syrianarabarmy #SAA #Idlib https://t.co/6znyzRfsw8',,0.0,0.0
2020-06-23 21:10:58,b'#Israel continues to strike  terrorist bases setup by #Iran in #Syria https://t.co/zYHAkFTrmN',,0.0,0.0
2020-06-23 21:10:37,b'The civic Kurdish activist Muhyedin Isso from #Ser\xc3\xaaKaniy\xc3\xaa (Rasulain) NE #Syria has just announced that his usurped\xe2\x80\xa6 https://t.co/yUiFHYx7Nz',,0.0,0.0
2020-06-23 21:09:25,b'#MuslimBrotherhood allies #Qatar &amp; #Turkey role in #Libya: #Erdogan called #Tamim to ask for more money to finance\xe2\x80\xa6 https://t.co/bVJDMSY0Fx',London,0.5,0.5
2020-06-23 21:09:12,"b""#Syria\n2 points:\n- Why #Isis has released a statement now?\n- Not 100% sure about this but it's possible (imo) that\xe2\x80\xa6 https://t.co/p9Eq2riY6o""",Italy,0.25,0.9444444444444444
2020-06-23 21:04:00,b'What does #Russia Want with the #Taliban? #Iran #Syria https://t.co/CKkHLGnrj8',🌎,0.0,0.0
2020-06-23 21:03:53,b'#SRO | #IS sect has claimed the assassination of the military deflector Muhammad Adnan Bakkar in #Azaz area. He was\xe2\x80\xa6 https://t.co/3sT3OZn3I5',Syria|Rojava - France|Breizh,-0.1,0.1
2020-06-23 21:02:59,b'He was of the seven but he will also be the 8th. Read #DANIEL11:21-45 &amp; realize this ruler lived during our time. C\xe2\x80\xa6 https://t.co/7xTaMFL42z',South Carolina,0.0,0.0
2020-06-23 21:02:08,"b'COWARDS! This Zehra Berkel, a female activist fighting for women\xe2\x80\x99s rights. Today she was killed on Turkish orders w\xe2\x80\xa6 https://t.co/TrY5HVSQXE'",Luxembourg,-0.1,0.08333333333333333
